Ticker,Company,S&P_Start,S&P_End,CurMktCap
AKAM,Akamai Technologies,2007-07-12,Present,10971895808
APTV,Aptiv,2012-12-24,Present,17170375680
AVB,AvalonBay Communities,2007-01-10,Present,27385237504
BAX,Baxter International,1972-09-30,Present,12609394688
BBY,Best Buy,1999-06-29,Present,15713649664
BF-B,Brown–Forman,1982-10-31,Present,14679905280
BXP,"BXP, Inc.",2006-04-03,Present,12324937728
CAH,Cardinal Health,1997-05-27,Present,34856759296
CCL,Carnival,1998-12-22,Present,42357690368
CINF,Cincinnati Financial,1997-12-18,Present,23974004736
CLX,Clorox,1969-03-31,Present,14608586752
CMS,CMS Energy,1957-03-04,Present,21614981120
CNP,CenterPoint Energy,1985-07-31,Present,24616275968
CTRA,Coterra,2008-06-23,Present,18223781888
DG,Dollar General,2012-12-03,Present,24716175360
DTE,DTE Energy,1957-03-04,Present,28734330880
EL,Estée Lauder Companies (The),2006-01-05,Present,31895162880
ES,Eversource Energy,2009-07-24,Present,23536113664
ETR,Entergy,1957-03-04,Present,39806287872
FFIV,"F5, Inc.",2010-12-20,Present,18136082432
GEN,Gen Digital,2003-03-25,Present,19172001792
GIS,General Mills,1957-03-04,Present,26370713600
HBAN,Huntington Bancshares,1997-08-28,Present,25224554496
HRL,Hormel Foods,2009-03-04,Present,15872718848
HSIC,Henry Schein,2015-03-17,Present,8303220224
HSY,Hershey Company (The),1957-03-04,Present,36642361344
IPG,Interpublic Group of Companies (The),1992-10-01,Present,9931301888
KHC,Kraft Heinz,2015-07-06,Present,32773883904
L,Loews Corporation,1995-05-31,Present,19848595456
LH,Labcorp,2004-11-01,Present,22950973440
MCHP,Microchip Technology,2007-09-07,Present,36995063808
MHK,Mohawk Industries,2013-12-23,Present,8205138432
MLM,Martin Marietta Materials,2014-07-02,Present,36428443648
MTB,M&T Bank,2004-02-23,Present,30925633536
NTAP,NetApp,1999-06-25,Present,22212990976
NWSA,News Corp (Class A),2013-08-01,Present,17870247936
PAYX,Paychex,1998-10-01,Present,49893793792
PEG,Public Service Enterprise Group,1957-03-04,Present,41219014656
PNR,Pentair,2012-10-01,Present,17694713856
PSKY,Paramount Skydance Corporation,1994-09-30,Present,17494554624
ROK,Rockwell Automation,2000-03-12,Present,39341780992
ROST,Ross Stores,2009-12-21,Present,48226619392
RVTY,Revvity,1985-05-31,Present,10692644864
SJM,J.M. Smucker Company (The),2008-11-06,Present,11900600320
SYF,Synchrony Financial,2015-11-18,Present,27536011264
TPR,"Tapestry, Inc.",2004-09-01,Present,20491888640
TSN,Tyson Foods,2005-08-10,Present,20438929408
UAL,United Airlines Holdings,2015-09-03,Present,33130731520
WAT,Waters Corporation,2002-01-02,Present,17801574400
WDC,Western Digital,2009-07-01,Present,27483160576
